nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed,new_suspected_cases_rate,new_confirmed_cases_rate,cumulative_suspected_cases_rate,cumulative_confirmed_cases_rate,prediction,anomaly_score,split
Nyankunde,2026-05-20,5.0,28.0,5.0,1.0,9.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True,9.574035808090457,1.0637817564544951,29.785889180725864,5.3189087822724765,1,0.15822440834097917,train
Rwampara,2026-05-20,24.0,179.0,44.0,3.0,25.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True,9.907877741972774,1.188945329036733,70.94040463252507,9.511562632293863,1,0.16281862691147153,train
Bambu,2026-05-21,1.0,2.0,0.0,0.0,0.0,0.0,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True,0.0,0.0,1.468960474245714,0.734480237122857,1,0.04147697605623768,train
Bunia,2026-05-21,15.0,166.0,34.0,6.0,41.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.0,True,8.054060985839014,1.1786430710983922,32.609124967055514,2.9466076777459804,1,0.18169204529194816,train
Butembo,2026-05-21,2.0,7.0,0.0,1.0,0.0,0.0,0.03058,0.0,0.84,289377.881656445,3648.62216219997,1.0,True,0.0,0.3455689129645435,2.4189823907518044,0.691137825929087,1,0.13621703212326275,train
Goma,2026-05-21,1.0,1.0,0.0,0.0,0.0,0.0,0.004881,0.02733,0.14,282838.298423046,8413.39578071933,1.0,True,0.0,0.0,0.3535589082438486,0.3535589082438486,1,0.10672485136605547,train
Katwa,2026-05-21,1.0,13.0,0.0,1.0,13.0,0.0,0.05021,0.0,0.96,612242.341814758,7809.37779884317,1.0,True,2.1233421983632295,0.16333401525870997,2.1233421983632295,0.16333401525870997,1,0.11231806378554254,train
Kilo,2026-05-21,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True,2.3180959016479554,2.3180959016479554,2.3180959016479554,2.3180959016479554,1,0.150021707111905,train
Miti Murhesa,2026-05-21,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True,0.3289659868008059,0.3289659868008059,0.3289659868008059,0.3289659868008059,1,0.12193318422323496,train
Mongbwalu,2026-05-21,14.0,322.0,84.0,1.0,5.0,0.0,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True,3.170290165948944,0.6340580331897888,204.16668668711196,8.876812464657043,1,0.10229340423872846,train
Nizi,2026-05-21,1.0,1.0,0.0,1.0,1.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True,0.7710284436855899,0.7710284436855899,0.7710284436855899,0.7710284436855899,1,0.011398301627621121,train
Nyankunde,2026-05-21,11.0,38.0,6.0,2.0,9.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True,9.574035808090457,2.1275635129089903,40.42370674527082,11.701599320999447,1,0.1318065251075502,train
Rwampara,2026-05-21,31.0,193.0,51.0,7.0,14.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.0,True,5.548411535504753,2.7742057677523766,76.48881616802981,12.285768400046239,1,0.1456962608356298,train
Bambu,2026-05-22,1.0,4.0,0.0,0.0,2.0,0.0,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True,1.468960474245714,0.0,2.937920948491428,0.734480237122857,1,0.04568151585368585,train
Bunia,2026-05-22,23.0,227.0,42.0,8.0,61.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,3.1320754716981134,False,11.982871222833653,1.5715240947978562,44.591996189889166,4.518131772543836,-1,-0.0003415539130922074,train
Butembo,2026-05-22,2.0,7.0,0.0,0.0,0.0,0.0,0.03058,0.0,0.84,289377.881656445,3648.62216219997,1.0,True,0.0,0.0,2.4189823907518044,0.691137825929087,1,0.12775235887793213,train
Goma,2026-05-22,1.0,1.0,0.0,0.0,0.0,0.0,0.004881,0.02733,0.14,282838.298423046,8413.39578071933,1.0,True,0.0,0.0,0.3535589082438486,0.3535589082438486,1,0.10672485136605547,train
Katwa,2026-05-22,0.0,13.0,0.0,2.0,0.0,0.0,0.05021,0.0,0.96,612242.341814758,7809.37779884317,1.0,True,0.0,0.32666803051741994,2.1233421983632295,0.0,1,0.11030848309229202,train
Kilo,2026-05-22,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True,2.3180959016479554,0.0,13.908575409887733,2.3180959016479554,1,0.12439119468639714,train
Miti Murhesa,2026-05-22,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True,1.6448299340040295,0.0,0.3289659868008059,0.3289659868008059,1,0.11714315250098628,train
Mongbwalu,2026-05-22,10.0,339.0,88.0,0.0,17.0,0.0,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True,10.77898656422641,0.0,214.94567325133838,6.340580331897888,1,0.09111001844351363,train
Nizi,2026-05-22,2.0,5.0,1.0,1.0,4.0,0.0,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True,3.0841137747423595,0.7710284436855899,3.855142218427949,1.5420568873711797,1,0.019663103723184694,train
Nyankunde,2026-05-22,9.0,45.0,8.0,0.0,7.0,0.0,0.0,0.00953,6.8,94004.2441913015,100.872453475923,1.0,True,7.446472295181466,0.0,47.870179040452285,9.574035808090457,1,0.12101999114803896,train
Rwampara,2026-05-22,32.0,221.0,63.0,1.0,28.0,0.0,0.0,0.07158,0.0,252324.469993129,378.392262151519,1.328125,False,11.096823071009506,0.3963151096789109,87.58563923903932,12.68208350972515,1,0.11987672524510784,train
Bambu,2026-05-23,0.0,6.0,2.0,0.0,2.0,0.0,0.8123,0.003188,11.98,136150.702150578,293.755113499808,1.0,True,1.468960474245714,0.0,4.406881422737142,0.0,1,0.04543545121826287,train
Bunia,2026-05-23,24.0,249.0,48.0,1.0,22.0,0.0,0.0,0.08423,0.0,509059.964558102,4336.1457340514,1.9390243902439024,False,4.321691260694104,0.19644051184973202,48.91368745058327,4.714572284393569,1,0.14992684350738084,train
