nom,date,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
Bambu,2026-05-28,,2.0,2.0,,244.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8123,0.7674,0.003188,0.003387,6.45,8.39,9.99,11.15,11.98,136150.702150578,293.755113499808
Bambu,2026-05-29,,2.0,2.0,,345.0,14.0,3.0,11.0,5.0,12.0,,,,,,,,0.0,,323.0,,0.0,,8.0,1.0,,,,,,,0.0,0.8123,0.7674,0.003188,0.003387,6.45,8.39,9.99,11.15,11.98,136150.702150578,293.755113499808
Beni,2026-05-28,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105,0.02617,0.02895,,,0.34,0.53,0.71,0.89,0.96,428853.658884277,583.694814150159
Beni,2026-05-29,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105,0.02617,0.02895,,,0.34,0.53,0.71,0.89,0.96,428853.658884277,583.694814150159
Bunia,2026-05-15,,0.0,,4.0,,8.0,,,,,,,,,,,,0.0,4.0,,,,,8.0,,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-18,,6.0,,13.0,127.0,61.0,18.0,,,,,,,,,,,6.0,9.0,127.0,,,,53.0,18.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-19,3.0,6.0,0.0,43.0,203.0,90.0,23.0,,,,,,,,,,,0.0,30.0,76.0,,,,29.0,5.0,,,,,,,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-20,0.0,11.0,0.0,73.0,203.0,125.0,31.0,1.0,40.0,,,,,,,,,5.0,30.0,0.0,28.0,0.0,12.0,35.0,8.0,544.0,544.0,0.0,0.0,544.0,544.0,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-21,87.0,15.0,1.0,114.0,290.0,166.0,34.0,9.0,50.0,,,,,,,,,6.0,41.0,87.0,36.0,1.0,31.0,41.0,3.0,1473.0,1473.0,0.0,0.0,1473.0,1473.0,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
Bunia,2026-05-22,71.0,23.0,2.0,142.0,290.0,227.0,42.0,,44.0,33.0,,,,,,,,8.0,28.0,87.0,11.0,3.0,8.0,61.0,8.0,3256.0,3360.0,104.0,104.0,3360.0,3256.0,0.0,,,0.08423,0.08954,,,,,,509059.964558102,4336.1457340514
