,contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260524,pop_count,pop_density
new_confirmed_cases,-0.1206053653807445,0.6518038270043177,0.6213254005931965,0.13767958342210126,0.25909476299003553,0.4150797775060136,0.39818387945859174,0.19458561757889575,0.029417131462313714,-0.1353799528004948,1.0,0.2911991437973538,0.5085916470057978,0.44495651066654396,-0.07138012905322233,0.504785809469094,0.45474037187450955,0.1771079566347101,0.1666811264205539,0.1500270331507974,-0.129174407127318,-0.129174407127318,0.1500270331507974,0.1666811264205539,-0.1172584750611748,-0.09477891391730715,-0.08945587105623931,0.0013979386152883553,-0.00039960522001416464,-0.026978517254050816,-0.015484196288598269,-0.012217336954230357,-0.009745056151548607,-0.01015658327542609,0.17691915010083353,-0.005884538170159396
new_contacts_isolated,0.05861331734952182,0.358909716300535,0.23302773180422057,0.6158012047644074,0.16759984972289566,0.17477479577286217,0.08072357942874789,0.7281945076557759,0.4667385937439625,0.6996098567940333,0.2911991437973538,1.0,0.33684793957820713,0.33245317963837934,0.20949532016564965,0.7415433611283874,0.6067388010074289,0.5093519805397057,0.23708090956435085,0.21786130158077235,-0.09900990081826133,-0.09900990081826133,0.21786130158077235,0.23708090956435085,-0.30850944867755487,-0.6471964807510487,-0.6387197901570829,0.5267934690595264,0.4505211617780645,-0.34238024936413597,-0.3017641975986019,-0.2905765227357189,-0.28708493180074707,-0.28564665690278124,0.5903132784579357,0.567856920223819
new_contacts_listed,0.49547452071959125,0.46935009504607583,0.661641930659248,0.05560502403174893,0.4035153112983468,0.1000765100312196,0.11217467592660432,-0.02679990690455303,-0.22349859905721606,-0.1946901838664059,0.5085916470057978,0.33684793957820713,1.0,0.2219114935900218,0.0800670849908493,0.21477437856060047,0.1792361131637926,0.10983183334534528,-0.16351353388364329,-0.1689082247604964,-0.1920383003195484,-0.1920383003195484,-0.1689082247604964,-0.16351353388364329,-0.02689301955371212,0.1469875907728383,0.13672506477595056,-0.0768558074894154,-0.07164855197960239,0.1053654471265329,0.1120741600618957,0.11529783101086455,0.116691356322737,0.1194575156613272,0.04029851842403106,0.01373167031940212
new_hosp_admissions,-0.40334896825446653,0.24425905750416269,-0.06069505786069067,0.19858618956098587,0.3025392081809631,0.08149774266197589,0.06669407459202845,-0.044665761543667644,0.7633780918942908,0.7055578218673103,0.44495651066654396,0.33245317963837934,0.2219114935900218,1.0,0.02873519146383352,0.5556464146704092,0.13142431587133133,0.33018268301092785,-0.36186786956642203,-0.37773576076776766,-0.6330543776017197,-0.6330543776017197,-0.37773576076776766,-0.36186786956642203,-0.2521432229694973,0.5773502691896258,0.5773502691896258,0.3276337986162579,0.308297878497946,0.09386143806717427,0.12860505835025451,0.12553330044941202,0.124629451320325,0.11444288490153862,0.1217102814476065,0.11715914917339935
new_hosp_detainees,0.5960846190088995,0.02664678869460947,-0.09040527978306856,0.1655633076921476,0.25335784128174427,-0.04472928321169311,-0.0974540581542077,-0.06967118718137828,0.2672477289811125,0.5390395517626799,-0.07138012905322233,0.20949532016564965,0.0800670849908493,0.02873519146383352,1.0,0.04832351858652295,0.22311508729188823,-0.072672493146224,0.03279913122010277,0.02982000518427018,-0.035290213005538265,-0.035290213005538265,0.02982000518427018,0.03279913122010277,-0.2599382617444554,,,0.18650368499596778,0.13284343217029057,0.010928251037463633,0.040935427367186084,0.03826572691628011,0.03748082863769065,0.02865476585045749,0.08025738349062836,0.1385581561626676
new_hosp_other,-0.24589129224926407,0.22280897975970318,0.14399817470506585,0.4787901910393141,0.15234062547481528,0.27061951329186523,0.21815894424817966,0.3378050797813148,0.611353257475127,0.6556336370628048,0.504785809469094,0.7415433611283874,0.21477437856060047,0.5556464146704092,0.04832351858652295,1.0,0.5646034609273549,0.36429170641619035,0.03503179819921409,0.017634877410199867,-0.33590039320307474,-0.33590039320307474,0.017634877410199867,0.03503179819921409,-0.219425144082278,0.5773502691896258,0.5773502691896258,0.58039956690167,0.5796159918654072,0.3394628608542862,0.34004211525773165,0.34006204917375843,0.34006524533383886,0.34001797937012407,0.4793071237885547,0.467840002832501
new_suspected_cases,0.04628410129954844,0.30396231336176066,0.18219414153770214,0.3154902350116602,0.22589465839676165,0.4239542401892779,0.4215406246792453,0.3490040422985875,0.4529641508994669,0.5060743756849977,0.45474037187450955,0.6067388010074289,0.1792361131637926,0.13142431587133133,0.22311508729188823,0.5646034609273549,1.0,0.8013542525813018,0.5011142468762139,0.4831692372398153,0.10916501605951769,0.10916501605951769,0.4831692372398153,0.5011142468762139,-0.17746272128433466,0.0168993160852302,0.01746432134007597,0.11063887679651008,0.11166234514841103,0.06507686206961369,0.0858831049010926,0.09021712732900058,0.09265840828374546,0.09285744060272881,0.2000543812928814,-0.05464371042328071
new_suspected_deaths,-0.2837208595203256,0.14460538699831904,0.2637926457462609,0.20536733308507457,0.03496961545237767,0.3100455631797436,0.3049553516177583,-0.13105024357076445,0.4069426081794259,0.29108390101320647,0.1771079566347101,0.5093519805397057,0.10983183334534528,0.33018268301092785,-0.072672493146224,0.36429170641619035,0.8013542525813018,1.0,0.6767018960668267,0.6681598486766215,0.4050452090395347,0.4050452090395347,0.6681598486766215,0.6767018960668267,-0.1375429209138423,0.0842960176253352,0.08218650790757495,-0.047189119747052005,-0.04053663729018556,0.11013376948984693,0.1257600357197661,0.12903170575715722,0.13015963566131186,0.13133701424926963,0.032761248232704536,-0.08654819814572648
total_poe_hand_washing,0.1295172570815069,0.6185799782174999,0.9846546425394931,0.8495247223103163,0.44343945472100926,0.3451458745671046,0.2928400341551643,0.36523275239459174,0.1735514431823728,0.9170283735945427,0.1666811264205539,0.23708090956435085,-0.16351353388364329,-0.36186786956642203,0.03279913122010277,0.03503179819921409,0.5011142468762139,0.6767018960668267,1.0,0.9995511520758478,0.7955422813881678,0.7955422813881678,0.9995511520758478,1.0,-0.1361745665178117,-0.8105595921434142,-0.8101443582765158,0.6705211180246904,0.6300564058099922,-0.6938273128871949,-0.7025459196867374,-0.7017983882002651,-0.7023759696023146,-0.7042261511357752,0.6487353404529812,0.5303771204291742
total_poe_passed,0.130489085546924,0.6068882119738209,0.984489054033744,0.8374430916434424,0.4329649714123801,0.33164043699035356,0.2889863386879219,0.34647758671580303,0.15477029181257923,0.91166600155273,0.1500270331507974,0.21786130158077235,-0.1689082247604964,-0.37773576076776766,0.02982000518427018,0.017634877410199867,0.4831692372398153,0.6681598486766215,0.9995511520758478,1.0,0.8133368260651879,0.8133368260651879,1.0,0.9995511520758479,-0.12102631431964837,-0.7934302841233175,-0.7929731714370537,0.6583712993930889,0.6178848653460491,-0.6810559715988966,-0.6890867765543854,-0.6880913220537881,-0.6885716762229502,-0.6903355989776371,0.6418950429184797,0.5155182040094374
