nom,date,cumulative_confirmed_cases,cumulative_suspected_cases,cumulative_suspected_deaths,new_confirmed_cases,new_suspected_cases,min_minutes_to_active_zone,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__outflow_20260524,pop_count,pop_density,rt_proxy,rt_proxy_is_imputed
Kilo,2026-05-22,1.0,6.0,2.0,0.0,1.0,37.958,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True
Kilo,2026-05-24,1.0,8.0,2.0,0.0,1.0,37.958,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True
Kilo,2026-05-25,1.0,18.0,0.0,0.0,10.0,37.958,0.0,0.0,0.0,43138.8537156332,107.546199583958,1.0,True
Kilo,2026-05-26,1.0,18.0,0.0,0.0,0.0,37.958,0.0,0.0,0.0,43138.8537156332,107.546199583958,2.4,False
Kyondo,2026-05-26,1.0,3.0,0.0,1.0,3.0,38.875,0.006672,0.332,0.25,270343.895203815,287.209696136707,1.0,True
Mambasa,2026-05-26,0.0,5.0,1.0,0.0,5.0,178.857,0.04492,0.08711,0.86,150807.291095497,9.38305119840287,1.0,True
Miti Murhesa,2026-05-21,1.0,1.0,0.0,1.0,1.0,255.092,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True
Miti Murhesa,2026-05-22,1.0,1.0,0.0,0.0,5.0,255.092,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True
Miti Murhesa,2026-05-25,1.0,1.0,0.0,0.0,0.0,552.389,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True
Miti Murhesa,2026-05-26,1.0,1.0,0.0,0.0,0.0,254.414,0.0,0.0,0.0,303982.79461199,722.651452069188,1.0,True
Mongbwalu,2026-05-18,1.0,302.0,74.0,1.0,56.0,99.224,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True
Mongbwalu,2026-05-19,13.0,309.0,77.0,12.0,7.0,99.224,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True
Mongbwalu,2026-05-20,13.0,317.0,80.0,0.0,8.0,64.835,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True
Mongbwalu,2026-05-21,14.0,322.0,84.0,1.0,5.0,61.266,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True
Mongbwalu,2026-05-22,10.0,339.0,88.0,0.0,17.0,61.266,0.0,0.03859,0.0,157714.270248931,49.26880991961,1.0,True
Mongbwalu,2026-05-25,19.0,364.0,88.0,0.0,25.0,61.266,0.0,0.03859,0.0,157714.270248931,49.26880991961,2.1,False
Mongbwalu,2026-05-26,20.0,375.0,88.0,1.0,11.0,61.266,0.0,0.03859,0.0,157714.270248931,49.26880991961,0.972972972972973,False
Mongbwalu,2026-05-29,47.0,346.0,88.0,8.0,7.0,61.266,0.0,0.03859,0.0,157714.270248931,49.26880991961,0.42857142857142855,False
Nizi,2026-05-21,1.0,1.0,0.0,1.0,1.0,26.115,0.932,0.004008,16.33,129696.901351642,671.566862038288,1.0,True
