nom,date,min_minutes_to_active_zone
Kokolo,2026-05-15,3011.606
Police,2026-05-15,3010.534
Makiso Kisangani,2026-05-15,674.126
Mangobo,2026-05-15,701.492
Kabondo,2026-05-15,694.119
Tshopo,2026-05-15,722.766
Kaniama,2026-05-15,1930.98
Kalemie,2026-05-15,1363.062
Kansimba,2026-05-15,1473.084
Butumba,2026-05-15,2372.325
Kinkondja,2026-05-15,1752.194
Baka,2026-05-15,2145.917
Kiambi,2026-05-15,1512.928
Manono,2026-05-15,1583.518
Samba,2026-05-15,1281.969
Kasongo,2026-05-15,1255.833
Kunda,2026-05-15,1406.613
Saramabila,2026-05-15,1167.63
Kampene,2026-05-15,1279.497
Nyemba,2026-05-15,1186.597
Nyunzu,2026-05-15,1350.786
Kabambare,2026-05-15,1185.931
Pangi,2026-05-15,1226.984
Kalima,2026-05-15,1203.909
Yalimbongo,2026-05-15,1047.791
Aketi,2026-05-15,1087.269
Lolo,2026-05-15,1130.916
Yamongili,2026-05-15,1229.804
Abuzi,2026-05-15,1329.92
Yambuku,2026-05-15,1251.878
Wasolo,2026-05-15,1296.639
Bosondjo,2026-05-15,1294.613
Bumba,2026-05-15,1199.366
Mondombe,2026-05-15,1147.538
Djolu,2026-05-15,1196.82
Opienge,2026-05-15,538.691
Obokote,2026-05-15,943.31
Lowa,2026-05-15,1131.32
Wanierukula,2026-05-15,723.323
Lubutu,2026-05-15,1008.416
Kitenda,2026-05-15,2855.492
Kasongo Lunda,2026-05-15,2889.983
Popokabaka,2026-05-15,2953.316
Kimvula,2026-05-15,3024.267
Maluku 1,2026-05-15,2867.717
Kimpese,2026-05-15,3235.6
Nsona Mpangu,2026-05-15,3296.742
Kangu,2026-05-15,3517.516
Kuimba,2026-05-15,3569.644
Kinkonzi,2026-05-15,3499.951
Mangembo,2026-05-15,3279.814
Gombe Matadi,2026-05-15,3185.516
Massa,2026-05-15,3099.188
Bokonzi,2026-05-15,1768.832
Mawuya,2026-05-15,1753.674
Zongo,2026-05-15,1750.802
Libenge,2026-05-15,1706.908
Bili (Nord-Ubangi),2026-05-15,1634.994
Gbadolite,2026-05-15,1462.942
Mobayi Mbongo,2026-05-15,1392.568
Yakoma,2026-05-15,1284.562
Monga,2026-05-15,1199.282
Bondo,2026-05-15,1145.805
Bili (Bas-Uele),2026-05-15,988.894
Ango,2026-05-15,916.745
Opala,2026-05-15,1016.379
Kahemba,2026-05-15,2635.492
Gungu,2026-05-15,2475.801
Kitangwa,2026-05-15,2327.855
Mukedi,2026-05-15,2321.813
Kongolo,2026-05-15,1335.914
Mbulula,2026-05-15,1420.754
Kabalo,2026-05-15,1464.113
Bukama,2026-05-15,2274.244
Kabondo Dianda,2026-05-15,1823.219
Kabongo,2026-05-15,1771.538
Songa,2026-05-15,1853.042
Kayamba,2026-05-15,1793.152
Kitenge,2026-05-15,1634.009
Ankoro,2026-05-15,1674.981
Mulongo,2026-05-15,1624.675
Lwamba,2026-05-15,1710.163
Mukanga,2026-05-15,1706.452
Malemba Nkulu,2026-05-15,1743.409
Kinda,2026-05-15,2196.518
Kamina,2026-05-15,2113.372
Kikwit Sud,2026-05-15,2498.58
Kenya,2026-05-15,2228.088
